Far Traveler,1,any one musical instrument or gaming set of your choice$ likely something native to your homeland,Insight,Perception,Why Are You Here?:A far traveler might have set out on a journey for one of a number of reasons$ and the departure from his or her homeland could have been voluntary or involuntary. To determine why you are so far from home$ roll on the table below or choose from the options provided. The following section$ discussing possible homelands$ includes some suggested reasons that are appropriate for each location.<ol><li>Emissary</li><li>Exile</li><li>Fugitive</li><li>Pilgrim</li><li>Sightseer</li><li>Wanderer</li></ol>;All Eyes on You:Your accent$ mannerisms$ figures of speech$ and perhaps even your appearance all mark you as foreign. Curious glances are directed your way wherever you go$ which can be a nuisance$ but you also gain the friendly interest of scholars and others intrigued by far-off lands$ to say nothing of everyday folk who are eager to hear stories of your homeland.<>You can parley this attention into access to people and places you might not otherwise have$ for you and your traveling companions. Noble lords$ scholars$ and merchant princes$ to name a few$ might be interested in hearing about your distant homeland and people.,5,one set of traveler's clothes;any one musical instrument or gaming set you are proficient with;poorly wrought maps from your homeland that depict where you are;a small piece of jewelry worth 10 gp in the style of your homeland's craftsmanship
Folk Hero,0,artisan's tools;vehicles (land),Animal handling,Survival,Rustic Hospitality:Since you come from the ranks of the common folk$ you fit in among them with ease. You can find a place to hide$ rest$ or recuperate among other commoners$ unless you have shown yourself to be a danger to them. They will shield you from the law or anyone else searching for you$ though they will not risk their lives for you.,15,a set of artisan's tools;a shovel;an iron pot;a set of common clothes
Gladiator,0,disguise kit;an unusual weapon,Acrobatics,Performance,By Popular Demand:You can always find a place to perform$ usually in an inn or tavern but possibly with a circus$ at a theater$ or even in a noble's court. At such a place$ you receive free lodging and food of a modest or comfortable standard (depending on the quality of the establishment)$ as long as you perform each night. In addition$ your performance makes you something of a local figure. When strangers recognize you in a town where you have performed$ they typically take a liking to you.,15,an inexpensive but unusal weapon;the favor of an admirer (love letter or lock of hair or trinket);a costume
Guild Artisan,1,artisan's tools,Insight,Persuasion,Guild Membership:As an established and respected member of a guild$ you can rely on certain benefits that membership provides. Your fellow guild members will provide you with lodging and food if necessary$ and pay for your funeral if needed. In some cities and towns$ a guildhall offers a central place to meet other members of your profession$ which can be a good place to meet potential patrons$ allies$ or hirelings.<>Guilds often wield tremendous political power. If you are accused of a crime$ your guild will support you if a good case can be made for your innocence or the crime is justifiable. You can also gain access to powerful political figures through the guild$ if you are a member in good standing. Such connections might require the donation of money or magic items to the guild's coffers.<>You must pay dues of 5 gp per month to the guild. If you miss payments$ you must make up back dues to remain in the guild's good graces.;Guild Business:Guilds are generally found in cities large enough to support several artisans practicing the same trade. However$ your guild might instead be a loose network of artisans who each work in a different village within a larger realm. Work with your DM to determine the nature of your guild. You can select your guild business from the Guild Business table or roll randomly.<ol><li>Alchemists and apothecaries</li><li>Armorers$ locksmiths$ and finesmiths</li><li>Brewers$ distillers$ and vintners</li><li>Calligraphers$ scribes$ and scriveners</li><li>Carpenters$ roofers$ and plasterers</li><li>Cartographers$ surveyors$ and chart-makers</li><li>Cobblers and shoemakers</li><li>Cooks and bakers</li><li>Glassblowers and glaziers</li><li>Jewelers and gemcutters</li><li>Leatherworkers$ skinners$ and tanners</li><li>Masons and stonecutters</li><li>Painters$ limners$ and sign-makers</li><li>Potters and tile-makers</li><li>Shipwrights and sailmakers</li><li>Smiths and metal-forgers</li><li>Tinkers$ pewterers$ and casters</li><li>Wagon-makers and wheelwrights</li><li>Weavers and dyers</li><li>Woodcarvers$ coopers$ and bowyers</li></ol>,15,a set of artisan's tools;a letter of introduction from your guild;a set of traveler's clothes
Guild Merchant,1,navigator's tools,Insight,Persuasion,Guild Membership:As an established and respected member of a guild$ you can rely on certain benefits that membership provides. Your fellow guild members will provide you with lodging and food if necessary$ and pay for your funeral if needed. In some cities and towns$ a guildhall offers a central place to meet other members of your profession$ which can be a good place to meet potential patrons$ allies$ or hirelings.<>Guilds often wield tremendous political power. If you are accused of a crime$ your guild will support you if a good case can be made for your innocence or the crime is justifiable. You can also gain access to powerful political figures through the guild$ if you are a member in good standing. Such connections might require the donation of money or magic items to the guild's coffers.<>You must pay dues of 5 gp per month to the guild. If you miss payments$ you must make up back dues to remain in the guild's good graces.;Guild Business:Guilds are generally found in cities large enough to support several artisans practicing the same trade. However$ your guild might instead be a loose network of artisans who each work in a different village within a larger realm. Work with your DM to determine the nature of your guild. You can select your guild business from the Guild Business table or roll randomly.<ol><li>Alchemists and apothecaries</li><li>Armorers$ locksmiths$ and finesmiths</li><li>Brewers$ distillers$ and vintners</li><li>Calligraphers$ scribes$ and scriveners</li><li>Carpenters$ roofers$ and plasterers</li><li>Cartographers$ surveyors$ and chart-makers</li><li>Cobblers and shoemakers</li><li>Cooks and bakers</li><li>Glassblowers and glaziers</li><li>Jewelers and gemcutters</li><li>Leatherworkers$ skinners$ and tanners</li><li>Masons and stonecutters</li><li>Painters$ limners$ and sign-makers</li><li>Potters and tile-makers</li><li>Shipwrights and sailmakers</li><li>Smiths and metal-forgers</li><li>Tinkers$ pewterers$ and casters</li><li>Wagon-makers and wheelwrights</li><li>Weavers and dyers</li><li>Woodcarvers$ coopers$ and bowyers</li></ol>,15,a mule and cart;a letter of introduction from your guild;a set of traveler's clothes
Haunted One,1,,Choose one of Arcana$ Investigation$ Religion$ or Survival,Choose one of Arcana$ Investigation$ Religion$ or Survival,Harrowing Event:Prior to becoming an adventurer$ your path in life was defined by one dark moment$ one fateful decision$ or one tragedy. Now you feel a darkness threatening to consume you$ and you fear there may be no hope of escape. Choose a harrowing event that haunts you$ or roll one on the Harrowing Events table.<ol><li>A monster that slaughtered dozens of innocent people spared your life$ and you don’t know why.</li><li>You were born under a dark star. You can feel it watching you$ coldly and distantly. Sometimes it beckons you in the dead of night.</li><li>An apparition that has haunted your family for generations now haunts you. You don’t know what it wants$ and it won’t leave you alone.</li><li>Your family has a history of practicing the dark arts. You dabbled once and felt something horrible clutch at your soul$ whereupon you fled in terror.</li><li>An oni took your sibling one cold$ dark night$ and you were unable to stop it.</li><li>You were cursed with lycanthropy and later cured. You are now haunted by the innocents you slaughtered.</li><li>A hag kidnapped and raised you. You escaped$ but the hag still has a magical hold over you and fills your mind with evil thoughts.</li><li>You opened an eldritch tome and saw things unfit for a sane mind. You burned the book$ but its words and images are burned into your psyche.</li><li>A fiend possessed you as a child. You were locked away but escaped. The fiend is still inside you$ but now you try to keep it locked away.</li><li>You did terrible things to avenge the murder of someone you loved. You became a monster$ and it haunts your waking dreams.</li></ol>;Heart of Darkness:Those who look into your eyes can see that you have faced unimaginable horror and that you are no stranger to darkness. Though they might fear you$ commoners will extend you every courtesy and do their utmost to help you. Unless you have shown yourself to be a danger to them$ they will even take up arms to fight alongside you$ should you find yourself facing an enemy alone.,0,monster hunter’s pack;one trinket of special significance
Hermit,1,herbalism kit,Medicine,Religion,Discovery:The quiet seclusion of your extended hermitage gave you access to a unique and powerful discovery. The exact nature of this revelation depends on the nature of your seclusion. It might be a great truth about the cosmos$ the deities$ the powerful beings of the outer planes$ or the forces of nature. It could be a site that no one else has ever seen. You might have uncovered a fact that has long been forgotten$ or unearthed some relic of the past that could rewrite history. It might be information that would be damaging to the people who or consigned you to exile$ and hence the reason for your return to society.<>Work with your DM to determine the details of your discovery and its impact on the campaign.;Life of Seclusion:What was the reason for your isolation$ and what changed to allow you to end your solitude? You can work with your DM to determine the exact nature of your seclusion$ or you can choose to roll on the table below to determine the reason behind your seclusion.<ol><li>I was searching for spiritual enlightenment.</li><li>I was partaking of communal living in accordance with the dictates of a religious order.</li><li>I was exiled for a crime I didn't commit.</li><li>I retreated from society after a life-altering event.</li><li>I needed a quiet place to work on my art$ literature$ music$ or manifesto.</li><li>I needed to commune with nature$ far from civilization.</li><li>I was the caretaker of an ancient ruin or relic.</li><li>I was a pilgrim in search of a person$ place$ or relic of spiritual significance.</li></ol>,5,a scroll case stuffed full of notes from your studies or prayers;a winter blanket;a set of common clothes;an herbalism kit
Inheritor,1,a gaming set or a musical instrument,Survival,one from among Arcana$ History$ and Religion,Inheritance:Choose or randomly determine your inheritance from among the possibilities in the table below. Work with your DM to come up with details: Why is your inheritance so important$ and what is its fu ll story? You might prefer for the DM to invent these details as part of the game$ allowing you to learn more about your inheritance as your character does.<>The DM is free to use your inheritance as a story hook$ sending you on quests to learn more about its history or true nature$ or confronting you with foes who want to claim it for themselves or prevent you from learning what you seek. The DM also determines the properties of your inheritance and how they figure into the item's history and importance. For instance$ the object might be a minor magic item$ or one that begins with a modest ability and increases in potency with the passage of time. Or$ the true nature of your inheritance might not be apparent at first and is revealed only when certain conditions are met.<>When you begin your adventuring career$ you can decide whether to tell your companions about your inheritance right away. Rather than attracting attention to yourself$ you might want to keep your inheritance a secret until you learn more about what it means to you and what it can do for you.<ol><li>A document such as a map$ a letter$ or a journal</li><li>A trinket</li><li>A trinket</li><li>An article of clothing</li><li>A piece of jewelry</li><li>An arcane book or formulary</li><li>A written story$ song$ poem$ or secret</li><li>A tattoo or other body marking</li></ol>,15,your inheritance;a set of traveler's clothes;the tool proficiency from your background
Investigator,2,,Investigation,Insight,Watcher's Eye:Your experience in enforcing the law$ and dealing with lawbreakers$ gives you a feel for local laws and criminals. You can easily find the local outpost of the watch or a similar organization$ and just as easily pick out the dens of criminal activity in a community$ although you're more likely to be welcome in the former locations rather than the latter.,10,a uniform in the style of your unit and indicative of your rank;a horn with which to summon help;a set of manacles
Knight,1,a gaming set,History,Persuasion,Retainers:You have the service of three retainers loyal to your family. These retainers can be attendants or messengers$ and one might be a majordomo. Your retainers are commoners who can perform mundane tasks for you$ but they do not fight for you$ will not follow you into obviously dangerous areas (such as dungeons)$ and will leave if they are frequently endangered or abused.,25,a set of fine clothes;a signet ring;a scroll of pedigree;a banner or other token from a noble lord or lady to whom you have given your heart (chastely)
Knight of The Order,1,one type of gaming set or musical instrument,Persuasion,one from among Arcana$ History$ Nature$ and Religion$ as appropriate for your order,Knightly Regard:You receive shelter and succor from members of your knightly order and those who are sympathetic to its aims. If your order is a religious one$ you can gain aid from temples and other religious communities of your deity. Knights of civic orders can get help from the community – whether a lone settlement or a great nation that they serve$ and knights of philosophical orders can find help from those they have aided in pursuit of their ideals$ and those who share those ideals.<>This help comes in the form of shelter and meals$ and healing when appropriate$ as well as occasionally risky assistance$ such as a band of local citizens rallying to aid a sorely pressed knight in a fight$ or those who support the order helping to smuggle a knight out of town when he or she is being hunted unjustly.,10,one set of traveler's clothes;a signet;banner or seal representing your place or rank in the order
Mercenary Veteran,0,one type of gaming set$ vehicles (land),Athletics,Persuasion,Mercenary Life:You know the mercenary life as only someone who has experienced it can. You are able to identify mercenary companies by their emblems$ and you know a little about any such company$ including the names and reputations of its commanders and leaders$ and who has hired them recently. You can find the taverns and festhalls where mercenaries abide in any area$ as long as you speak the language. You can find mercenary work between adventures sufficient to maintain a comfortable lifestyle.,10,a uniform of your company (traveler's clothes in quality);an insignia of your rank;a gaming set of your choice
Noble,1,a gaming set,History,Persuasion,Position of Privilege:Thanks to your noble birth$ people are inclined to think the best of you. You are welcome in high society$ and people assume you have the right to be wherever you are. The common folk make every effort to accommodate you and avoid your displeasure$ and other people of high birth treat you as a member of the same social sphere. You can secure an audience with a local noble if you need to.,25,a set of fine clothes;a signet ring;a scroll of pedigree
Outlander,1,a musical instrument,Athletics,Survival,Wanderer:You have an excellent memory for maps and geography$ and you can always recall the general layout of terrain$ settlements$ and other features around you. In addition$ you can find food and fresh water for yourself and up to five other people each day$ provided that the land offers berries$ small game$ water$ and so forth.;Origin:You've been to strange places and seen things that others cannot begin to fathom. Consider some of the distant lands you have visited$ and how they impacted you. You can roll on the following table to determine your occupation during your time in the wild$ or choose one that best fits your character.<ol><li>Forester</li><li>Trapper</li><li>Homesteader</li><li>Guide</li><li>Exile or outcast</li><li>Bounty hunter</li><li>Pilgrim</li><li>Tribal nomad</li><li>Hunter-gatherer</li><li>Tribal marauder</li></ol>,10,a staff;a hunting trap;a trophy from an animal you killed;a set of traveler's clothes
Pirate,0,navigator's tools;vehicles (water),Athletics,Perception,Bad Reputation:No matter where you go$ people are afraid of you due to your reputation. When you are in a civilized settlement$ you can get away with minor criminal offenses$ such as refusing to pay for food at a tavern or breaking down doors at a local shop$ since most people will not report your activity to the authorities.,10,a belaying pin (club);50 feet of silk rope;a lucky charm such as a rabbit foot or a small stone with a hole in the center or a common trinket;a set of common clothes
Sage,2,,Arcana,History,Researcher:When you attempt to learn or recall a piece of lore$ if you do not know that information$ you often know where and from whom you can obtain it. Usually$ this information comes from a library$ scriptorium$ university$ or a sage or other learned person or creature. Your DM might rule that the knowledge you seek is secreted away in an almost inaccessible place$ or that it simply cannot be found. Unearthing the deepest secrets of the multiverse can require an adventure or even a whole campaign.;Speciality:To determine the nature of your scholarly training$ roll a d8 or choose from the options in the table below.<ol><li>Alchemist</li><li>Astronomer</li><li>Discredited academic</li><li>Librarian</li><li>Professor</li><li>Researcher</li><li>Wizard's apprentice</li><li>Scribe</li></ol>,10,a bottle of black ink;a quill;a small knife;a letter from a dead colleague posing a question you have not yet been able to answer;a set of common clothes
Sailor,0,navigator's tools;vehicles (water),Athletics,Perception,Ship's Passage:When you need to$ you can secure free passage on a sailing ship for yourself and your adventuring companions. You might sail on the ship you served on$ or another ship you have good relations with (perhaps one captained by a former crewmate). Because you're calling in a favor$ you can't be certain of a schedule or route that will meet your every need. Your DM will determine how long it takes to get where you need to go. In return for your free passage$ you and your companions are expected to assist the crew during the voyage.;Specialty:During your time as a soldier$ you had a specific role to play in your unit or army. Roll a d8 or choose from the options in the table below to determine your role~<ol><li>Officer</li><li>Scout</li><li>Infantry</li><li>Cavalry</li><li>Healer</li><li>Quartermaster</li><li>Standard bearer</li><li>Support staff (cook$ blacksmith$ or the like)</li></ol>,10,a belaying pin (club);50 feet of silk rope;a lucky charm such as a rabbit foot or a small stone with a hole in the center or a common trinket;a set of common clothes
Soldier,0,a gaming set;vehicles (land),Athletics,Intimidation,Military Rank:You have a military rank from your career as a soldier. Soldiers loyal to your former military organization still recognize your authority and influence$ and they defer to you if they are of a lower rank. You can invoke your rank to exert influence over other soldiers and requisition simple equipment or horses for temporary use. You can also usually gain access to friendly military encampments and fortresses where your rank is recognized.,10,an insignia of rank;a trophy taken from a fallen enemy (a dagger or a broken blade or piece of a banner);a set of bone dice or deck of cards;a set of common clothes
Spy,0,a gaming set;thieves' tools,Deception,Stealth,Criminal Contact:You have a reliable and trustworthy contact who acts as your liaison to a network of other criminals. You know how to get messages to and from your contact$ even over great distances-- specifically$ you know the local messengers$ corrupt caravan masters$ and seedy sailors who can deliver messages for you.,15,a crowbar;a set of dark common clothes including a hood
Urban Bounty Hunter,0,choose two from among one type of gaming set$ one musical instrument$ and thieves' tools,choose one from among Deception$ Insight$ Persuasion$ and Stealth,choose one from among Deception$ Insight$ Persuasion$ and Stealth,Ear to the Ground:You are in frequent contact with people in the segment of society that your chosen quarries move through. These people might be associated with the criminal underworld$ the rough-and-tumble folk of the streets$ or members of high society. This connection comes in the form of a contact in any city you visit$ a person who provides information about the people and places of the local area.,20,a set of clothes appropriate to your duties
Urchin,0,a disguise kit;thieves' tools,Sleight of hand,Stealth,City Secrets:You know the secret patterns and flow to cities and can find passages through the urban sprawl that others would miss. When you are not in combat$ you (and companions you lead) can travel between any two locations in the city twice as fast as your speed would normally allow.,10,a small knife;a map of the city you grew up in;a pet mouse;a token to remember your parents by;a set of common clothes
