Bard,College of Valor,valor,,,Bonus Proficiencies:When you join the College of Valor at 3rd level$ you gain proficiency with medium armor$ shields$ and martial weapons.;Combat Inspiration:Also at 3rd level$ you learn to inspire others in battle. A creature that has a Bardic Inspiration die from you can roll that die and add the number rolled to a weapon damage roll it just made. Alternatively$ when an attack roll is made against the creature$ it can use its reaction to roll the Bardic Inspiration die and add the number rolled to its AC against that attack$ after seeing the roll but before knowing whether it hits or misses.,,,Extra Attack:Starting at 6th level$ you can attack twice$ instead of once$ whenever you take the Attack action on your turn.,,,,,,,,Battle Magic:At 14th level$ you have mastered the art of weaving spellcasting and weapon use into a single harmonious act. When you use your action to cast a bard spell$ you can make one weapon attack as a bonus action. ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard,College of Whispers,whispers,,,Psychic Blades:When you join the College of Whispers at 3rd level$ you gain the ability to make your weapon attacks magically toxic to a creature's mind.<>When you hit a creature with a weapon attack$ you can expend one use of your Bardic Inspiration to deal an additional 2d6 psychic damage to that target. You can do so only once per round on your turn.<>The psychic damage increases when you reach certain levels in this class$ increasing to 3d6 at 5th level$ 5d6 at 10th level$ and 8d6 at 15th level.;Words of Terror:At 3rd level$ you learn to infuse innocent-seeming words with an insidious magic that can inspire terror.<>If you speak to a humanoid alone for at least 1 minute$ you can attempt to seed paranoia and fear into its mind. At the end of the conversation$ the target must succeed on a Wisdom saving throw against your spell save DC or be frightened of you or another creature of your choice. The target is frightened in this way for 1 hour$ until it is attacked or damaged$ or until it witnesses its allies being attacked or damaged.<>If the target succeeds on its saving throw$ the target has no hint that you tried to frighten it.<>Once you use this feature$ you can't use it again until you finish a short rest or long rest.,,,Mantle of Whispers:At 6th level$ you gain the ability to adopt a humanoid's persona. When a humanoid dies within 30 feet of you$ you can magically capture its shadow using your reaction. You retain this shadow until you use it or you finish a long rest.<>You can use the shadow as an action. When you do so$ it vanishes$ magically transforming into a disguise that appears on you. You now look like the dead person$ but healthy and alive. This disguise lasts for 1 hour or until you end it as a bonus action.<>While you're in the disguise$ you gain access to all information that the humanoid would freely share with a casual acquaintance. Such information includes general details on its background and personal life$ but doesn't include secrets. The information is enough that you can pass yourself off as the person by drawing on its memories.<>Another creature can see through this disguise by succeeding on a Wisdom (Insight) check contested by your Charisma (Deception) check. You gain a +5 bonus to your check.<>Once you capture a shadow with this feature$ you can't capture another one with it until you finish a short or long rest.,,,,,,,,Shadow Lore:At 14th level$ you gain the ability to weave dark magic into your words and tap into a creature's deepest fears.<>As an action$ you magically whisper a phrase that only one creature of your choice within 30 feet of you can hear. The target must make a Wisdom saving throw against your spell save DC. It automatically succeeds if it doesn't share a language with you or if it can't hear you. On a successful saving throw$ your whisper sounds like unintelligible mumbling and has no effect.<>If the target fails its saving throw$ it is charmed by you for the next 8 hours or until you or your allies attack or damage it. It interprets the whispers as a description of its most mortifying secret.<>While you gain no knowledge of this secret$ the target is convinced you know it. While charmed in this way$ the creature obeys your commands for fear that you will reveal its secret. It won't risk its life for you or fight for you$ unless it was already inclined to do so. It grants you favors and gifts it would offer to a close friend.<>When the effect ends$ the creature has no understanding of why it held you in such fear.<>Once you use this feature$ you can't use it again until you finish a long rest.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleric,Arcana Domain,arcana,Arcana Domain Spells:The following spells are you domain spells. Once you gain a domain spell$ you always have it prepared$ and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list$ the spell is nonetheless a cleric spell for you.<><><b>1st~ </b><i>detect magic$ magic missile</i><><b>3rd~ </b><i>magic weapon$ nystul's magic aura</i><><b>5th~ </b><i>dispel magic$ magic circle</i><><b>7th~ </b><i>arcane eye$ leomund's secret chest</i><><b>9th~ </b><i>planar binding$ teleportation circle</i>;Arcane Initiate:When you choose this domain at 1st level$ you gain proficiency in the Arcana skill$ and you gain two cantrips of your choice from the wizard spell list. For you$ these cantrips count as cleric cantrips.,Channel Divinity - Arcane Abjuration:Starting at 2nd level$ you can use your Channel Divinity to abjure otherworldly creatures.<>As an action$ you present your holy symbol$ and one celestial$ elemental$ fey$ or fiend of your choice that is within 30 feet of you must make a Wisdom saving throw$ provided that the creature can see or hear you. If the creature fails its saving throw$ it is turned for 1 minute or until it takes any damage.<>A turned creature must spend its turns trying to move as far away from you as it can$ and it can't willingly end its move in a space within 30 feet of you. It also can't take reactions. For its action$ it can only use the Dash action or try to escape from an effect that prevents it from moving. If there's nowhere to move$ the creature can use the Dodge action.<>After you reach 5th level$ when a creature fails its saving throw against your Arcane Abjuration feature$ the creature is banished for 1 minute (as in the Banishment spell$ no concentration required) if it isn't on its plane of origin and its challenge rating is at or below a certain threshold$ as shown on the Arcane Banishment table.<><b>5th level~</b> CR 1/2 or lower<><b>8th level~</b> CR 1 or lower<><b>11th level~</b> CR 2 or lower<><b>14th level~</b> CR 3 or lower<><b>17th level~</b> CR 4 or lower,,,,Spell Breaker:Starting at 6th level$ when you restore hit points to an ally with a spell of 1st level or higher$ you can also end one spell of your choice on that creature. The level of the spell you end must be equal to or lower than the level of the spell slot you use to cast the healing spell.,,Potent Spellcasting:Starting at 8th level$ you add your Wisdom modifier to the damage you deal with any cleric cantrip.,,,,,,,,,Arcane Mastery:At 17th level$ you choose four spells from the wizard spell list$ one from each of the following levels: 6th$ 7th$ 8th$ and 9th. You add them to your list of domain spells. Like your other domain spells$ they are always prepared and count as cleric spells for you.,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleric,Death Domain,death,Death Domain Spells:The following spells are you domain spells. Once you gain a domain spell$ you always have it prepared$ and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list$ the spell is nonetheless a cleric spell for you.<><><b>1st~ </b><i>false life$ ray of sickness</i><><b>3rd~ </b><i>blindness/deafness$ ray of enfeeblement</i><><b>5th~ </b><i>animate dead$ vampiric touch</i><><b>7th~ </b><i>blight$ death ward</i><><b>9th~ </b><i>antilife shell$ cloudkill</i>;Bonus Proficiency:When you choose this domain at 1st level$ you gain proficiency with martial weapons.;Reaper:At 1st level$ you learn one necromancy cantrip of your choice from any spell list. When you cast a necromancy cantrip that normally targets only one creature$ the spell can instead target two creatures within range and within 5 feet of each other.,Channel Divinity - Touch of Death:Starting at 2nd level$ you can use Channel Divinity to destroy another creature's life force by touch. When you hit a creature with a melee attack$ you can use Channel Divinity to deal extra necrotic damage to the target. The damage equals 5 + twice your cleric level.,,,,Inescapable Destruction:Starting at 6th level$ your ability to channel negative energy becomes more potent. Necrotic damage dealt by your cleric spells and Channel Divinity options ignores resistance to necrotic damage.,,Divine Strike:At 8th level$ you gain the ability to infuse your weapon strikes with necrotic energy. Once on each of your turns when you hit a creature with a weapon attack$ you can cause the attack to deal an a 1d8 necrotic damage to the target. When you reach 14th level$ the extra damage increases to 2d8.,,,,,,,,,Improved Reaver:Starting at 17th level$ when you cast a necromancy spell of 1st through 5th level that targets only one creature$ the spell can instead target two creatures within range and within 5 feet of each other. If the spell consumes its material components$ you must provide them for each target.,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleric,Forge Domain,forge,Forge Domain Spells:The following spells are you domain spells. Once you gain a domain spell$ you always have it prepared$ and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list$ the spell is nonetheless a cleric spell for you.<><><b>1st~ </b><i>identify$ searing smite</i><><b>3rd~ </b><i>heat metal$ magic weapon</i><><b>5th~ </b><i>elemental weapon$ protection from enemy</i><><b>7th~ </b><i>fabricate$ wall of fire</i><><b>9th~ </b><i>animate objects$ creation</i>;Bonus Proficiencies:When you choose this domain at 1st level$ you gain proficiency with heavy armor and smith's tools.;Blessing of the Forge:At 1st level$ you gain the ability to imbue magic into a weapon or armor. At the end of a long rest$ you can touch one nonmagical object that is a suit of armor or a simple or martial weapon. Until the end of your next long rest or until you die$ the object becomes a magic item$ granting a +1 bonus to AC if it's armor or a +1 bonus to attack and damage rolls if it's a weapon.<>Once you use this feature$ you can't use it again until you finish a long rest.,Channel Divinity - Artisan's Blessing:Starting at 2nd level$ you can use your Channel Divinity to create simple items.<>You conduct an hour-long ritual that crafts a nonmagical item that must include some metal: a simple or martial weapon$ a suit of armor$ ten pieces of ammunition$ a set of tools$ or another metal object. The creation is completed at the end of the hour$ coalescing in an unoccupied space of your choice on a surface within 5 feet of you.<>The thing you create can be something that is worth no more than 100 gp. As part of this ritual$ you must lay out metal$ which can include coins$ with a value equal to the creation. The metal irretrievably coalesces and transforms into the creation at the ritual's end$ magically forming even nonmetal parts of the creation.<>The ritual can create a duplicate of a nonmagical item that contains metal$ such as a key$ if you possess the original during the ritual.,,,,Soul of the Forge:Starting at 6th level$ your mastery of the forge grants you special abilities~<ul><li>You gain resistance to fire damage.</li><li>While wearing heavy armor$ you gain a +1 bonus to AC.</li></ul>,,Divine Strike:At 8th level$ you gain the ability to infuse your weapon strikes with the fiery power of the forge. Once on each of your turns when you hit a creature with a weapon attack$ you can cause the attack to deal an extra 1d8 fire damage to the target. When you reach 14th level$ the extra damage increases to 2d8.,,,,,,,,,Saint of Forge and Fire:At 17th level$ your blessed affinity with fire and metal becomes more powerful~<ul><li>You gain immunity to fire damage.</li><li>While wearing heavy armor$ you have resistance to bludgeoning$ piercing$ and slashing damage from nonmagical attacks.</li></ul>,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleric,Grave Domain,grave,Grave Domain Spells:The following spells are you domain spells. Once you gain a domain spell$ you always have it prepared$ and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list$ the spell is nonetheless a cleric spell for you.<><><b>1st~ </b><i>bane$ false life</i><><b>3rd~ </b><i>gentle repose$ ray of enfeeblement</i><><b>5th~ </b><i>revivify$ vampiric touch</i><><b>7th~ </b><i>blight$ death ward</i><><b>9th~ </b><i>antilife shell$ raise dead</i>;Circle of Mortality:At 1st level$ you gain the ability to manipulate the line between life and death. When you would normally roll one or more dice to restore hit points with a spell to a creature at 0 hit points$ you instead use the highest number possible for each die.<>In addition$ you learn the Spare the Dying cantrip$ which doesn't count against the number of cleric cantrips you know. For you$ it has a range of 30 feet$ and you can cast it as a bonus action.;Eyes of the Grave:At 1st level$ you gain the ability to occasionally sense the presence of the undead$ whose existence is an insult to the natural cycle of life. As an action$ you can open your awareness to magically detect undead. Until the end of your next turn$ you know the location of any undead within 60 feet of you that isn't behind total cover and that isn't protected from divination magic. This sense doesn't tell you anything about a creature's capabilities or identity.<>You can use this feature a number of times equal to your Wisdom modifier (minimum of once). You regain all expended uses when you finish a long rest.,Channel Divinity - Path to the Grave:Starting at 2nd level$ you can use your Channel Divinity to mark another creature's life force for termination.<>As an action$ you choose one creature you can see within 30 feet of you$ cursing it until the end of your next turn. The next time you or an ally of yours hits the cursed creature with an attack$ the creature has vulnerability to all of that attack's damage$ and then the curse ends.,,,,Sentinal at Death's Door:At 6th level$ you gain the ability to impede death's progress. As a reaction when you or an ally that you can see within 30 feet of you suffers a critical hit$ you can turn that attack into a normal hit. Any effects triggered by a critical hit are canceled.<>You can use this feature a number of times equal to your Wisdom modifier (minimum of once). You regain all expended uses when you finish a long rest.,,Potent Spellcasting:Starting at 8th level$ you add your Wisdom modifier to the damage you deal with any cleric cantrip.,,,,,,,,,Keeper of Souls:At 17th level$ you can seize a trace of vitality from a parting soul and use it to heal the living. When an enemy you can see dies within 30 feet of you$ you or one ally of your choice that is within 30 feet of you regains hit points equal to the enemy's number of Hit Dice. You can use this feature only if you aren't incapacitated. Once you use it$ you can't do so again until the start of your next turn.,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleric,Knowledge Domain,knowledge,Knowledge Domain Spells:The following spells are you domain spells. Once you gain a domain spell$ you always have it prepared$ and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list$ the spell is nonetheless a cleric spell for you.<><><b>1st~ </b><i>command$ identify</i><><b>3rd~ </b><i>augury$ suggestion</i><><b>5th~ </b><i>nondetection$ speak with dead</i><><b>7th~ </b><i>arcane eye$ confusion</i><><b>9th~ </b><i>legend lore$ scrying</i>;Blessings of Knowledge:At 1st level$ you learn two languages of your choice. You also become proficient in your choice of two of the following skills: Arcana$ History$ Nature$ or Religion. <>Your proficiency bonus is doubled for any ability check you make that uses either of those skills.,Channel Divinity - Knowledge of the Ages:Starting at 2nd level$ you can use your Channel Divinity to tap into a divine well of knowledge. As an action$ you choose one skill or tool. For 10 minutes$ you have proficiency with the chosen skill or tool.,,,,Channel Divinity - Read Thoughts:At 6th level$ you can use your Channel Divinity to read a creature's thoughts. You can then use your access to the creature's mind to command it.<>As an action$ choose one creature that you can see within 60 feet of you. That creature must make a Wisdom saving throw. If the creature succeeds on the saving throw$ you can't use this feature on it again until you finish a long rest.<>If the creature fails its save$ you can read its surface thoughts (those foremost in its mind$ reflecting its current emotions and what it is  actively thinking about) when it is within 60 feet of you. This effect lasts for 1 minute.<>During that time$ you can use your action to end this effect and cast the suggestion spell on the creature without expending a spell slot. The target automatically fails its saving throw against the spell. ,,Potent Spellcasting:Starting at 8th level$ you add your Wisdom modifier to the damage you deal with any cleric cantrip.,,,,,,,,,Visions of the Past:Starting at 17th level$ you can call up visions of the past that relate to an object you hold or your immediate surroundings. You spend at least 1 minute in meditation and prayer$ then receive dreamlike$ shadowy glimpses of recent events. You can meditate in this way for a number of minutes equal to your Wisdom score and must maintain concentration during that time$ as if you were casting a spell.<>Once you use this feature$ you can't use it again until you finish a short or long rest.<><b>Object Reading.</b> Holding an object as you meditate$ you can see visions of the object's previous owner. After meditating for 1 minute$ you learn how the owner acquired and lost the object$ as well as the most recent significant event involving the object and that owner. If the object was owned by another creature in the recent past (within a number of days equal to your Wisdom score)$ you can spend 1 additional minute for each owner to learn the same information about that creature.<><b>Area Reading.</b> As you meditate$ you see visions of recent events in your immediate vicinity (a room$ street$ tunnel$ clearing$ or the like$ up to a SO-foot cube)$ going back a number of days equal to your Wisdom score. For each minute you meditate$ you learn about one significant event$ beginning with the most recent. Significant events typically involve powerful emotions$ such as battles and betrayals$ marriages and murders$ births and funerals. However$ they might also include more mundane events that are nevertheless important in your current situation. ,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleric,Life Domain,life,Life Domain Spells:The following spells are you domain spells. Once you gain a domain spell$ you always have it prepared$ and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list$ the spell is nonetheless a cleric spell for you.<><><b>1st~ </b><i>bless$ cure wounds</i><><b>3rd~ </b><i>lesser restoration$ spiritual weapon</i><><b>5th~ </b><i>beacon of hope$ revivify</i><><b>7th~ </b><i>death ward$ guardian of faith</i><><b>9th~ </b><i>mass cure wounds$ raise dead</i>;Bonus Proficiency:When you choose this domain at 1st level$ you gain proficiency with heavy armor.;Disciple of Life:Also starting at 1st level$ your healing spells are more effective. Whenever you use a spell of 1st level or higher to restore hit points to a creature$ the creature regains additional hit points equal to 2 +  the spell's level.,Channel Divinity - Preserve Life:Starting at 2nd level$ you can use your Channel Divinity to heal the badly injured.<>As an action$ you present your holy symbol and evoke healing energy that can restore a number of hit points equal to five times your cleric level. Choose any creatures within 30 feet of you$ and divide those hit points among them. This feature can restore a creature to no more than half of its hit point maximum. You can't use this feature on an undead or a construct.,,,,Blessed Healer:Beginning at 6th level$ the healing spells you cast on others heal you as well. When you cast a spell of 1st level or higher that restores hit points to a creature other than you$ you regain hit points equal to 2 +  the spell's level.,,Divine Strike:At 8th level$ you gain the ability to infuse your weapon strikes with divine energy. Once on each of your turns when you hit a creature with a weapon attack$ you can cause the attack to deal an extra 1d8 radiant damage to the target. When you reach 14th level$ the extra damage increases to 2d8. ,,,,,,,,,Supreme Healing:Starting at 17th level$ when you would normally roll one or more dice to restore hit points with a spell$ you instead use the highest number possible for each die. For example$ instead of restoring 2d6 hit points to a creature$ you restore 12.,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleric,Light Domain,light,Light Domain Spells:The following spells are you domain spells. Once you gain a domain spell$ you always have it prepared$ and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list$ the spell is nonetheless a cleric spell for you.<><><b>1st~ </b><i>burning hands$ faerie fire</i><><b>3rd~ </b><i>flaming sphere$ scorching ray</i><><b>5th~ </b><i>daylight$ fireball</i><><b>7th~ </b><i>guardian of faith$ wall of fire</i><><b>9th~ </b><i>flame strike$ scrying</i>;Bonus Cantrip:When you choose this domain at 1st level$ you gain the light cantrip if you don't already know it.;Warding Flame:Also at 1st level$ you can interpose divine light between yourself and an attacking enemy. When you are attacked by a creature within 30 feet of   you that you can see$ you can use your reaction to impose disadvantage on the attack roll$ causing light to flare before the attacker before it hits or misses. An attacker that can't be blinded is immune to this feature.<>You can use this feature a number of times equal to your Wisdom modifier (a minimum of once). You regain all expended uses when you finish a long rest. ,Channel Divinity - Radiance of the Dawn:Starting at 2nd level$ you can use your Channel Divinity to harness sunlight$ banishing darkness and dealing radiant damage to your foes.<>As an action$ you present your holy symbol$ and any magical darkness within 30 feet of you is dispelled. Additionally$ each hostile creature within 30 feet of you must make a Constitution saving throw. A creature takes radiant damage equal to 2d10 +your cleric level on a failed saving throw$ and half as much damage on a successful one. A creature that has total cover from you is not affected. ,,,,Improved Flare:Starting at 6th level$ you can also use your Warding Flare feature when a creature that you can see within 30 feet of you attacks a creature other than you. ,,Potent Spellcasting:Starting at 8th level$ you add your Wisdom modifier to the damage you deal with any cleric cantrip.,,,,,,,,,Corona of Light:Starting at 17th level$ you can use your action to activate an aura of sunlight that lasts for  1 minute or until you dismiss it using another action. You emit bright light in a 60-foot radius and dim light 30 feet beyond that. Your enemies in the bright light have disadvantage on saving throws against any spell that deals fire or radiant damage. ,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleric,Nature Domain,nature,Nature Domain Spells:The following spells are you domain spells. Once you gain a domain spell$ you always have it prepared$ and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list$ the spell is nonetheless a cleric spell for you.<><><b>1st~ </b><i>animal friendship$ speak with animals</i><><b>3rd~ </b><i>barkskin$ spike growth</i><><b>5th~ </b><i>plant growth$ wind wall</i><><b>7th~ </b><i>dominate beast$ grasping vine</i><><b>9th~ </b><i>insect plague$ tree stride</i>;Acolyte of Nature:At 1st level$ you learn one druid cantrip of your choice. You also gain proficiency in one of the following skills of your choice: Animal Handling$ Nature$ or Survival.;Bonus Proficiency:Also at  1st level$ you gain proficiency with heavy armor.,Channel Divinity - Charm Animals and Plants:Starting at 2nd level$ you can use your Channel Divinity to charm animals and plants.<>As an action$ you present your holy symbol and invoke the name of your deity. Each beast or plant creature that can see you within 30 feet of you must make a Wisdom saving throw. If the creature fails its saving throw$ it is charmed by you for 1 minute or until it takes damage. While it is charmed by you$ it is friendly to you and other creatures you designate.,,,,Dampen Elements:Starting at 6th level$ when you or a creature within 30 feet of you takes acid$ cold$ fire$ lightning$ or thunder damage$ you can use your reaction to grant resistance to the creature against that instance of the damage. ,,Divine Strike:At 8th level$ you gain the ability to infuse your weapon strikes with divine energy. Once on each of your turns when you hit a creature with a weapon attack$ you can cause the attack to deal an extra  1d8 cold$ fire$ or lightning damage (your choice) to the target. When you reach 14th level$ the extra damage increases to 2d8.,,,,,,,,,Master of Nature:At 17th level$ you gain the ability to command animals and plant creatures. While creatures are charmed by your Charm Animals and Plants feature$ you can take a bonus action on your turn to verbally command what each of those creatures will do on its next turn.,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleric,Order Domain,order,Order Domain Spells:The following spells are you domain spells. Once you gain a domain spell$ you always have it prepared$ and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list$ the spell is nonetheless a cleric spell for you.<><><b>1st~ </b><i>command$ heroism</i><><b>3rd~ </b><i>hold person$ zone of truth</i><><b>5th~ </b><i>mass healing word$ slow</i><><b>7th~ </b><i>compulsion$ locate creature</i><><b>9th~ </b><i>commune$ dominate person</i>;Bonus Proficiencies:When you choose this domain at 1st level$ you gain proficiency with heavy armor. You also gain proficiency in the Intimidation or Persuasion skill (your choice).;Voice of Authority:Starting at 1st level$ you can invoke the power of law to drive an ally to attack. If you cast a spell with a spell slot of 1st level or higher and target an ally with the spell$ that ally can use their reaction immediately after the spell to make one weapon attack against a creature of your choice that you can see.<>If the spell targets more than one ally$ you choose the ally who can make the attack.,Channel Divinity - Order's Demand:Starting at 2nd level$ you can use your Channel Divinity to exert an intimidating presence over others.<>As an action$ you present your holy symbol$ and each creature of your choice that can see or hear you within 30 feet of you must succeed on a Wisdom saving throw or be charmed by you until the end of your next turn or until the charmed creature takes any damage. You can also cause any of the charmed creatures to drop what they are holding when they fail the saving throw.,,,,Embodiment of the Law:At 6th level$ you become remarkably adept at channeling magical energy to compel others.<>If you cast a spell of the enchantment school using a spell slot of 1st level or higher$ you can change the spell's casting time to 1 bonus action for this casting$ provided the spell's casting time is normally 1 action.<>You can use this feature a number of times equal to your Wisdom modifier (minimum of once)$ and you regain all expended uses of it when you finish a long rest.,,Divine Strike:At 8th level$ you gain the ability to infuse your weapon strikes with divine energy. Once on each of your turns when you hit a creature with a weapon attack$ you can cause the attack to deal an extra 1d8 psychic damage to the target. When you reach 14th level$ the extra damage increases to 2d8.,,,,,,,,,Order's Wrath:Starting at 17th level$ enemies you designate for destruction wilt under the combined efforts of you and your allies. If you deal your Divine Strike damage to a creature on your turn$ you can curse that creature until the start of your next turn. The next time one of your allies hits the cursed creature with an attack$ the target also takes 2d8 psychic damage$ and the curse ends. You can curse a creature in this way only once per turn.,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
